OrderID,OrderDate,CustomerID,ProductID,Quantity,UnitPrice,Discount,SalesAmount,CostAmount,Profit,PaymentID,ShippingID,OrderStatus
O000067,2025-11-09,C04844,P0345,1,23097.74,5,21942.85,19801.28,2141.57,PM001,S001,Delivered
O000068,2024-06-08,C01476,P0012,3,63488.91,10,171420.06,119193.27,52226.79,PM001,S002,Delivered
O000069,2024-01-14,C02061,P0276,3,29639.45,10,80026.52,58244.55,21781.97,PM001,S001,Delivered
O000070,2025-12-05,C01124,P0403,2,80033.34,10,144060.01,97128.6,46931.41,PM003,S003,Delivered
O000071,2024-06-03,C00616,P0261,1,40771.41,10,36694.27,34935.48,1758.79,PM004,S001,Delivered
O000072,2024-04-10,C01285,P0254,3,25543.84,10,68968.37,50817.36,18151.01,PM004,S001,Delivered
O000073,2025-07-25,C02326,P0015,2,1578.86,15,2684.06,2507.28,176.78,PM003,S003,Delivered
O000074,2024-02-12,C03138,P0489,1,63512.19,0,63512.19,42909.69,20602.5,PM004,S001,Delivered
O000075,2024-07-11,C03673,P0025,1,30210.98,5,28700.43,20874.04,7826.39,PM002,S002,Returned
O000076,2024-11-06,C02856,P0163,2,73556.16,0,147112.32,93627.84,53484.48,PM002,S001,Delivered
O000077,2025-09-12,C01624,P0108,2,26462.6,15,44986.42,43783.86,1202.56,PM001,S001,Delivered
O000078,2025-08-27,C03450,P0311,1,29454.58,5,27981.85,25483.02,2498.83,PM001,S001,Delivered
O000079,2025-12-28,C02704,P0063,3,37302.66,15,95121.78,92425.47,2696.31,PM001,S001,Delivered
O000080,2025-04-09,C01141,P0243,2,22513.98,15,38273.77,33434.36,4839.41,PM003,S002,Delivered
O000081,2024-06-11,C02831,P0303,1,60306.18,0,60306.18,40595.27,19710.91,PM005,S001,Delivered
O000082,2024-12-16,C00499,P0451,2,28348.47,0,56696.94,39758.36,16938.58,PM001,S001,Delivered
O000083,2024-08-21,C04683,P0116,3,50033.0,10,135089.1,95194.23,39894.87,PM003,S002,Delivered
O000084,2025-02-06,C01104,P0466,1,30127.62,15,25608.48,20789.29,4819.19,PM002,S002,Delivered
O000085,2024-12-16,C03090,P0320,1,32874.44,5,31230.72,22905.89,8324.83,PM003,S002,Delivered
O000086,2024-06-15,C01753,P0022,2,71790.82,0,143581.64,89577.72,54003.92,PM001,S001,Delivered
O000087,2024-05-27,C04015,P0464,1,21003.24,0,21003.24,13394.91,7608.33,PM001,S002,Delivered
O000088,2024-01-28,C00614,P0463,1,22749.29,5,0.0,14643.52,0.0,PM001,S001,Cancelled
O000089,2024-09-15,C03048,P0453,1,39356.95,0,39356.95,23911.7,15445.25,PM004,S001,Delivered
O000090,2025-08-20,C00644,P0490,4,71501.68,5,271706.38,175709.76,95996.62,PM001,S001,Delivered
O000091,2025-09-11,C02869,P0106,2,46383.35,10,83490.03,57618.78,25871.25,PM002,S001,Delivered
O000092,2025-03-17,C04154,P0333,2,43663.96,15,74228.73,59166.6,15062.13,PM005,S002,Delivered
O000093,2025-09-20,C01136,P0498,1,46507.43,20,37205.94,38916.26,-1710.32,PM003,S003,Delivered
O000094,2025-06-10,C04693,P0476,1,14004.75,15,11904.04,11226.13,677.91,PM002,S002,Delivered
O000095,2024-07-29,C03700,P0330,1,58137.16,10,52323.44,37612.64,14710.8,PM002,S001,Delivered
O000096,2025-06-26,C02363,P0336,3,50159.22,15,127906.01,111671.25,16234.76,PM003,S001,Delivered
O000097,2025-03-20,C00162,P0383,1,20477.19,20,16381.75,16018.51,363.24,PM002,S001,Delivered
O000098,2025-03-28,C01822,P0130,1,51733.76,5,49147.07,39574.18,9572.89,PM003,S001,Delivered
O000099,2025-11-27,C04420,P0126,3,59237.56,10,159941.41,146959.38,12982.03,PM003,S001,Delivered
O000100,2025-02-07,C02766,P0370,1,13170.81,0,13170.81,10752.7,2418.11,PM002,S003,Delivered
O000101,2024-03-06,C03403,P0228,2,70405.17,25,105607.76,88097.7,17510.06,PM005,S002,Delivered
O000102,2025-02-08,C02628,P0371,1,15248.26,20,12198.61,10669.5,1529.11,PM004,S001,Delivered
O000103,2025-07-28,C03994,P0409,2,56883.94,5,108079.49,73898.96,34180.53,PM003,S001,Delivered
O000104,2025-03-10,C04995,P0317,1,60329.46,10,54296.51,38012.39,16284.12,PM002,S001,Delivered
O000105,2024-08-15,C04856,P0261,4,40771.41,10,146777.08,139741.92,7035.16,PM003,S001,Delivered
O000106,2025-04-20,C04598,P0028,1,32317.5,20,25854.0,25434.6,419.4,PM004,S001,Delivered
O000107,2025-04-12,C00057,P0337,1,20718.55,10,18646.7,15712.61,2934.09,PM001,S001,Delivered
O000108,2024-04-10,C03238,P0450,2,13956.49,0,27912.98,23213.1,4699.88,PM003,S002,Returned
O000109,2025-02-26,C02345,P0015,4,1578.86,10,5683.9,5014.56,669.34,PM001,S001,Delivered
O000110,2024-12-21,C04903,P0183,1,24024.55,0,24024.55,15840.22,8184.33,PM002,S001,Delivered
O000111,2024-05-18,C00620,P0376,3,28081.93,15,71608.92,59379.48,12229.44,PM005,S001,Delivered
O000112,2025-09-22,C04875,P0294,1,11851.4,0,11851.4,9174.45,2676.95,PM001,S003,Delivered
O000113,2025-07-22,C04875,P0477,1,61159.13,5,0.0,38776.78,0.0,PM001,S001,Cancelled
O000114,2024-05-10,C02614,P0407,2,53425.2,0,106850.4,86371.62,20478.78,PM001,S001,Delivered
O000115,2025-07-02,C04262,P0210,2,62299.02,5,118368.14,93409.72,24958.42,PM002,S001,Delivered
O000116,2025-04-12,C02836,P0014,3,57051.08,25,128364.93,129638.64,-1273.71,PM001,S001,Pending
O000117,2025-04-24,C00666,P0032,1,9767.61,20,7814.09,6017.5,1796.59,PM002,S003,Delivered
O000118,2024-04-20,C00128,P0044,2,78681.89,10,141627.4,99922.5,41704.9,PM003,S001,Delivered
O000119,2024-06-01,C03558,P0454,2,13214.34,10,23785.81,19812.26,3973.55,PM004,S001,Delivered
O000120,2024-08-29,C04172,P0348,5,19465.29,5,92460.13,77265.2,15194.93,PM001,S002,Delivered
O000121,2025-12-20,C04983,P0374,1,5389.35,5,5119.88,3591.37,1528.51,PM004,S001,Delivered
O000122,2025-11-12,C00635,P0116,1,50033.0,5,47531.35,31731.41,15799.94,PM001,S001,Delivered
O000123,2024-10-05,C03609,P0123,1,49490.47,0,49490.47,33839.37,15651.1,PM001,S001,Delivered
O000124,2024-12-28,C03690,P0372,2,32236.96,10,58026.53,48490.06,9536.47,PM005,S002,Delivered
O000125,2025-09-16,C04711,P0466,1,30127.62,0,30127.62,20789.29,9338.33,PM001,S003,Delivered
O000126,2025-02-11,C00986,P0483,2,8207.83,5,15594.88,11850.44,3744.44,PM001,S002,Delivered
O000127,2024-06-23,C02574,P0442,1,34291.2,20,27432.96,22672.88,4760.08,PM001,S001,Returned
O000128,2025-08-23,C01157,P0102,1,54134.51,10,48721.06,39532.83,9188.23,PM005,S002,Delivered
O000129,2024-05-14,C04537,P0004,2,61049.79,10,109889.62,89587.5,20302.12,PM001,S001,Delivered
O000130,2025-05-20,C03869,P0371,2,15248.26,10,27446.87,21339.0,6107.87,PM001,S003,Returned
O000131,2024-10-20,C00244,P0190,4,31566.48,5,119952.62,81340.6,38612.02,PM003,S001,Delivered
O000132,2025-05-09,C00768,P0497,2,27454.06,0,54908.12,46232.34,8675.78,PM001,S001,Delivered
O000133,2025-02-22,C03218,P0444,1,34009.76,15,28908.3,24736.76,4171.54,PM001,S002,Delivered
O000134,2024-07-24,C00415,P0479,3,39966.8,5,113905.38,92112.9,21792.48,PM001,S001,Delivered
O000135,2024-11-13,C03284,P0203,1,35238.83,0,35238.83,23896.77,11342.06,PM002,S001,Delivered
O000136,2024-03-13,C04345,P0238,3,57970.37,0,173911.11,117792.9,56118.21,PM002,S001,Delivered
O000137,2024-09-15,C03107,P0059,2,11802.2,15,20063.74,14903.14,5160.6,PM003,S002,Delivered
O000138,2024-12-23,C02887,P0331,1,45107.84,0,45107.84,32162.97,12944.87,PM001,S002,Delivered
O000139,2024-05-27,C00862,P0413,2,42808.2,10,77054.76,57922.34,19132.42,PM002,S002,Delivered
O000140,2024-08-12,C04915,P0403,1,80033.34,5,76031.67,48564.3,27467.37,PM003,S001,Pending
O000141,2024-04-14,C04958,P0145,2,37907.26,10,68233.07,64176.92,4056.15,PM001,S002,Delivered
O000142,2025-07-09,C03358,P0004,2,61049.79,20,97679.66,89587.5,8092.16,PM002,S001,Delivered
O000143,2024-12-21,C03934,P0428,1,6322.57,0,6322.57,4256.71,2065.86,PM003,S001,Delivered
O000144,2025-06-21,C03765,P0260,5,53249.8,10,239624.1,182110.15,57513.95,PM005,S001,Delivered
O000145,2024-09-17,C00210,P0443,2,49649.11,20,0.0,84618.8,0.0,PM002,S003,Cancelled
O000146,2025-07-24,C02158,P0396,5,46980.36,5,223156.71,161054.2,62102.51,PM004,S001,Delivered
O000147,2025-07-26,C02378,P0241,1,35746.54,0,35746.54,21945.85,13800.69,PM004,S002,Delivered
O000148,2024-03-10,C02190,P0303,1,60306.18,10,54275.56,40595.27,13680.29,PM005,S003,Delivered
O000149,2025-03-22,C00676,P0391,2,44456.52,25,66684.78,66718.48,-33.7,PM003,S001,Delivered
O000150,2025-03-22,C01356,P0469,2,44749.13,10,80548.43,60743.04,19805.39,PM001,S002,Delivered
O000151,2024-09-13,C00026,P0481,2,1566.77,20,2506.83,2483.54,23.29,PM001,S001,Delivered
O000152,2025-09-28,C02694,P0229,5,42681.53,5,202737.27,169170.7,33566.57,PM004,S001,Delivered
O000153,2025-06-14,C01651,P0140,1,70410.62,15,59849.03,49789.65,10059.38,PM002,S001,Delivered
O000154,2024-04-28,C02959,P0327,2,58375.66,5,110913.75,94121.12,16792.63,PM001,S001,Returned
O000155,2024-03-06,C04458,P0054,1,74633.16,10,67169.84,45614.71,21555.13,PM003,S001,Delivered
O000156,2024-09-01,C01683,P0442,1,34291.2,20,27432.96,22672.88,4760.08,PM005,S001,Delivered
O000157,2024-02-26,C04456,P0063,4,37302.66,0,149210.64,123233.96,25976.68,PM001,S001,Delivered
O000158,2024-02-13,C01967,P0143,3,44046.66,5,125532.98,106623.78,18909.2,PM002,S001,Delivered
O000159,2025-06-07,C03287,P0421,1,9363.09,5,8894.94,5980.47,2914.47,PM002,S001,Delivered
O000160,2025-02-27,C00996,P0056,2,52127.98,0,104255.96,73676.7,30579.26,PM001,S001,Delivered
O000161,2025-06-19,C00077,P0073,2,32202.47,5,61184.69,44181.24,17003.45,PM001,S001,Delivered
O000162,2025-01-29,C02143,P0097,1,73406.83,0,73406.83,46508.68,26898.15,PM004,S002,Delivered
O000163,2025-03-25,C00957,P0358,1,12562.6,5,11934.47,7927.29,4007.18,PM005,S001,Delivered
O000164,2024-09-13,C03045,P0080,2,61764.66,0,123529.32,80697.22,42832.1,PM005,S001,Delivered
O000165,2024-12-26,C00218,P0287,2,60187.55,0,120375.1,87041.24,33333.86,PM002,S001,Delivered
O000166,2025-08-28,C03947,P0271,2,19437.94,5,36932.09,26005.22,10926.87,PM001,S001,Delivered
O000167,2025-01-14,C02416,P0130,3,51733.76,5,147441.22,118722.54,28718.68,PM005,S002,Delivered
O000168,2025-03-18,C03346,P0013,5,16027.95,10,72125.78,60997.15,11128.63,PM004,S002,Delivered
O000169,2025-06-17,C01468,P0248,1,50603.68,5,48073.5,33342.95,14730.55,PM004,S001,Delivered
O000170,2025-04-18,C04783,P0005,1,68196.09,10,61376.48,47447.72,13928.76,PM001,S002,Delivered
O000171,2024-06-05,C02873,P0432,3,73134.3,20,175522.32,135918.42,39603.9,PM003,S001,Delivered
O000172,2024-03-29,C00033,P0417,1,56355.53,10,50719.98,35054.31,15665.67,PM004,S001,Pending
O000173,2024-07-20,C02920,P0032,3,9767.61,0,29302.83,18052.5,11250.33,PM002,S001,Delivered
O000174,2025-04-06,C03488,P0181,1,35047.16,15,29790.09,23622.32,6167.77,PM003,S001,Delivered
O000175,2025-04-25,C00425,P0106,1,46383.35,25,34787.51,28809.39,5978.12,PM004,S003,Delivered
O000176,2025-12-09,C04883,P0496,1,43263.18,0,43263.18,27515.8,15747.38,PM004,S001,Delivered
O000177,2025-07-10,C03079,P0237,1,41331.17,0,41331.17,27451.26,13879.91,PM001,S001,Delivered
O000178,2025-03-29,C04835,P0021,3,65009.87,5,0.0,118387.77,0.0,PM002,S001,Cancelled
O000179,2025-04-14,C04863,P0450,4,13956.49,0,55825.96,46426.2,9399.76,PM004,S002,Delivered
O000180,2025-01-14,C01818,P0484,2,59253.93,15,100731.68,75890.86,24840.82,PM001,S003,Delivered
O000181,2025-02-04,C03927,P0445,1,49790.99,10,44811.89,36089.14,8722.75,PM005,S002,Delivered
O000182,2024-03-19,C04019,P0438,1,54476.44,15,46304.97,41210.08,5094.89,PM004,S001,Delivered
O000183,2025-07-04,C04295,P0225,1,26931.29,10,24238.16,19131.26,5106.9,PM004,S002,Delivered
O000184,2025-01-20,C00715,P0203,3,35238.83,0,105716.49,71690.31,34026.18,PM001,S001,Delivered
O000185,2025-10-28,C03208,P0041,2,18351.08,10,33031.94,31237.92,1794.02,PM001,S001,Delivered
O000186,2025-10-22,C03981,P0343,5,50273.16,15,213660.93,190075.5,23585.43,PM001,S001,Delivered
O000187,2024-12-08,C04384,P0422,3,42145.35,0,126436.05,78713.64,47722.41,PM002,S002,Delivered
O000188,2025-03-20,C02025,P0161,2,46471.58,10,83648.84,69027.28,14621.56,PM001,S001,Delivered
O000189,2024-02-21,C03874,P0232,1,34238.94,15,0.0,21593.02,0.0,PM001,S001,Cancelled
O000190,2024-09-07,C03730,P0136,1,33228.64,25,24921.48,24376.19,545.29,PM001,S002,Delivered
O000191,2025-10-20,C02615,P0484,1,59253.93,15,50365.84,37945.43,12420.41,PM002,S001,Delivered
O000192,2024-11-24,C00811,P0292,5,32192.91,5,152916.32,130768.3,22148.02,PM002,S001,Delivered
O000193,2025-05-08,C02456,P0033,1,57454.43,5,54581.71,39139.27,15442.44,PM002,S001,Delivered
O000194,2024-12-15,C02031,P0029,1,29631.91,10,26668.72,23699.14,2969.58,PM001,S002,Delivered
O000195,2025-04-03,C01786,P0351,2,54337.77,20,86940.43,74894.64,12045.79,PM005,S002,Delivered
O000196,2025-05-12,C01973,P0057,2,65755.29,5,124935.05,85685.72,39249.33,PM002,S002,Delivered
O000197,2024-05-04,C00717,P0478,1,4359.37,5,0.0,3081.41,0.0,PM001,S002,Cancelled
O000198,2024-07-22,C00825,P0328,1,24445.78,10,22001.2,16998.83,5002.37,PM001,S001,Delivered
O000199,2025-10-04,C01728,P0445,1,49790.99,10,44811.89,36089.14,8722.75,PM001,S001,Delivered
O000200,2024-01-21,C02233,P0346,3,25689.58,20,61654.99,60913.77,741.22,PM001,S001,Delivered
O000201,2025-08-12,C00763,P0471,2,52112.51,5,99013.77,66232.7,32781.07,PM003,S001,Delivered
O000202,2025-07-16,C00022,P0370,3,13170.81,10,35561.19,32258.1,3303.09,PM005,S002,Delivered
O000203,2024-12-27,C02260,P0439,1,51457.44,5,48884.57,38390.66,10493.91,PM001,S001,Delivered
O000204,2024-12-26,C04562,P0180,1,24988.82,15,21240.5,19638.44,1602.06,PM004,S003,Delivered
O000205,2024-04-25,C03306,P0371,1,15248.26,5,14485.85,10669.5,3816.35,PM005,S001,Delivered
O000206,2024-02-24,C04268,P0427,2,11387.78,10,20498.0,15621.98,4876.02,PM002,S001,Returned
O000207,2024-10-18,C04893,P0126,1,59237.56,5,56275.68,48986.46,7289.22,PM001,S001,Delivered
O000208,2024-02-20,C01542,P0124,1,30092.17,0,30092.17,22958.73,7133.44,PM002,S001,Delivered
O000209,2024-09-10,C04340,P0410,3,6091.6,10,16447.32,11135.52,5311.8,PM004,S002,Delivered
O000210,2025-05-06,C00421,P0372,4,32236.96,10,116053.06,96980.12,19072.94,PM001,S002,Delivered
O000211,2025-07-26,C03545,P0490,3,71501.68,0,214505.04,131782.32,82722.72,PM002,S001,Delivered
O000212,2024-08-12,C04437,P0253,2,12367.42,10,22261.36,15240.54,7020.82,PM004,S003,Delivered
O000213,2025-04-13,C01984,P0486,2,57001.33,15,96902.26,74117.28,22784.98,PM003,S002,Delivered
O000214,2024-04-12,C00123,P0359,1,6188.47,10,5569.62,4319.61,1250.01,PM002,S003,Delivered
O000215,2024-02-17,C04968,P0258,4,24826.11,5,94339.22,83933.68,10405.54,PM002,S001,Pending
O000216,2024-12-07,C00434,P0439,2,51457.44,10,92623.39,76781.32,15842.07,PM003,S001,Delivered
O000217,2024-08-20,C04166,P0090,4,38421.72,5,146002.54,122047.8,23954.74,PM003,S001,Delivered
O000218,2025-08-04,C04747,P0018,2,15581.78,0,31163.56,20421.42,10742.14,PM001,S001,Delivered
O000219,2025-07-12,C03483,P0219,1,2836.49,0,2836.49,1950.46,886.03,PM002,S001,Delivered
O000220,2024-08-15,C02885,P0178,1,60109.56,0,60109.56,40795.4,19314.16,PM001,S002,Delivered
O000221,2025-06-05,C02639,P0209,1,12502.66,20,10002.13,8654.59,1347.54,PM005,S001,Delivered
O000222,2025-11-27,C03878,P0301,1,46316.75,5,44000.91,34391.32,9609.59,PM001,S001,Delivered
O000223,2025-08-14,C01616,P0015,2,1578.86,10,2841.95,2507.28,334.67,PM001,S002,Returned
O000224,2024-01-13,C03809,P0235,2,19805.11,15,33668.69,33784.24,-115.55,PM001,S001,Delivered
O000225,2025-05-13,C00227,P0135,4,56593.37,10,203736.13,139264.44,64471.69,PM005,S003,Delivered
O000226,2025-03-20,C00536,P0209,2,12502.66,10,22504.79,17309.18,5195.61,PM003,S001,Pending
O000227,2024-12-05,C01123,P0211,3,36595.34,5,104296.72,82103.25,22193.47,PM002,S002,Delivered
O000228,2024-11-19,C04366,P0155,1,37833.79,5,35942.1,23070.15,12871.95,PM005,S001,Delivered
O000229,2025-08-18,C03535,P0040,2,38615.38,20,61784.61,52970.72,8813.89,PM005,S002,Delivered
O000230,2025-08-20,C00659,P0273,2,39958.27,10,71924.89,66235.9,5688.99,PM002,S001,Returned
O000231,2024-06-05,C03108,P0160,1,53390.16,0,53390.16,43378.13,10012.03,PM002,S001,Delivered
O000232,2025-10-17,C02322,P0144,1,4852.11,15,4124.29,3685.03,439.26,PM005,S001,Delivered
O000233,2025-07-28,C01167,P0191,2,64629.47,0,129258.94,99736.52,29522.42,PM001,S003,Delivered
O000234,2025-03-06,C04992,P0222,2,81117.51,10,146011.52,99708.36,46303.16,PM002,S001,Delivered
O000235,2025-07-08,C01972,P0334,4,52187.92,0,208751.68,181345.56,27406.12,PM004,S002,Delivered
O000236,2025-02-10,C00017,P0444,1,34009.76,10,30608.78,24736.76,5872.02,PM003,S002,Delivered
O000237,2024-06-06,C01904,P0242,1,44240.99,10,39816.89,34878.82,4938.07,PM001,S002,Pending
O000238,2024-07-03,C01613,P0361,1,16701.35,10,15031.21,10975.1,4056.11,PM001,S003,Pending
O000239,2025-05-05,C03707,P0338,3,51991.31,10,140376.54,121114.5,19262.04,PM004,S001,Delivered
O000240,2025-06-19,C00436,P0086,1,16422.13,5,15601.02,12735.59,2865.43,PM001,S002,Delivered
O000241,2024-12-22,C04072,P0180,4,24988.82,0,99955.28,78553.76,21401.52,PM005,S002,Delivered
O000242,2025-12-17,C03456,P0080,4,61764.66,10,222352.78,161394.44,60958.34,PM001,S001,Delivered
O000243,2024-12-27,C02005,P0305,1,14674.08,0,14674.08,10940.54,3733.54,PM002,S003,Delivered
O000244,2024-08-11,C04954,P0049,1,43409.39,10,39068.45,32230.24,6838.21,PM002,S001,Returned
O000245,2025-09-04,C02734,P0464,1,21003.24,15,17852.75,13394.91,4457.84,PM002,S002,Delivered
O000246,2024-07-22,C00263,P0154,3,68556.87,10,185103.55,141383.13,43720.42,PM001,S003,Returned
O000247,2024-01-08,C02442,P0179,1,51988.25,20,41590.6,42420.34,-829.74,PM001,S002,Delivered
O000248,2025-04-16,C00808,P0299,1,9679.34,15,8227.44,8342.38,-114.94,PM003,S001,Delivered
O000249,2024-06-20,C02513,P0326,2,36784.97,20,58855.95,46496.92,12359.03,PM002,S001,Delivered
O000250,2025-12-20,C00358,P0243,2,22513.98,5,42776.56,33434.36,9342.2,PM002,S001,Delivered
O000251,2024-04-05,C02402,P0327,1,58375.66,0,58375.66,47060.56,11315.1,PM001,S001,Delivered
O000252,2025-11-04,C01275,P0009,5,36739.59,0,183697.95,120910.75,62787.2,PM001,S001,Delivered
