ProductID,ProductName,Category,SubCategory,Brand,UnitCost,UnitPrice
P0232,Care Product 232,Automotive,Care,Michelin,21593.02,34238.94
P0233,Accessories Product 233,Electronics,Accessories,Apple,48122.62,55697.89
P0234,Beverages Product 234,Grocery,Beverages,Nestle,20133.03,31535.95
P0235,Makeup Product 235,Beauty,Makeup,Lakme,16892.12,19805.11
P0236,Non-Fiction Product 236,Books,Non-Fiction,Pearson,44390.08,63236.51
P0237,Outdoor Toys Product 237,Toys,Outdoor Toys,LEGO,27451.26,41331.17
P0238,Bike Accessories Product 238,Automotive,Bike Accessories,3M,39264.3,57970.37
P0239,Outdoor Toys Product 239,Toys,Outdoor Toys,Mattel,9167.83,12641.86
P0240,Sportswear Product 240,Sports,Sportswear,Yonex,983.05,1374.43
P0241,Staples Product 241,Grocery,Staples,ITC,21945.85,35746.54
P0242,Outdoor Product 242,Sports,Outdoor,Puma,34878.82,44240.99
P0243,Makeup Product 243,Beauty,Makeup,Nivea,16717.18,22513.98
P0244,Audio Product 244,Electronics,Audio,HP,2567.59,3317.22
P0245,Car Accessories Product 245,Automotive,Car Accessories,3M,31746.32,47893.82
P0246,Comics Product 246,Books,Comics,HarperCollins,41504.22,51005.49
P0247,Home Decor Product 247,Home & Kitchen,Home Decor,HomeCentre,47988.76,68728.99
P0248,Educational Product 248,Toys,Educational,Funskool,33342.95,50603.68
P0249,Snacks Product 249,Grocery,Snacks,Britannia,25862.73,42593.36
P0250,Audio Product 250,Electronics,Audio,Samsung,40709.15,48268.97
P0251,Dog Supplies Product 251,Pet Supplies,Dog Supplies,Royal Canin,26075.12,42640.92
P0252,Mobiles Product 252,Electronics,Mobiles,Samsung,19943.85,23957.25
P0253,Outdoor Toys Product 253,Toys,Outdoor Toys,LEGO,7620.27,12367.42
P0254,Laptops Product 254,Electronics,Laptops,Lenovo,16939.12,25543.84
P0255,Outdoor Toys Product 255,Toys,Outdoor Toys,Mattel,7811.92,9354.12
P0256,Kitchen Product 256,Home & Kitchen,Kitchen,Philips,12678.25,20346.54
P0257,Comics Product 257,Books,Comics,HarperCollins,5240.87,8385.3
P0258,Cat Supplies Product 258,Pet Supplies,Cat Supplies,Pedigree,20983.42,24826.11
P0259,Outdoor Toys Product 259,Toys,Outdoor Toys,LEGO,38500.83,61852.22
P0260,Non-Fiction Product 260,Books,Non-Fiction,HarperCollins,36422.03,53249.8
P0261,Fitness Product 261,Sports,Fitness,Nike,34935.48,40771.41
P0262,Accessories Product 262,Fashion,Accessories,Levis,18581.93,22515.67
P0263,Dog Supplies Product 263,Pet Supplies,Dog Supplies,Drools,15786.0,21738.06
P0264,Makeup Product 264,Beauty,Makeup,Maybelline,24135.05,37276.08
P0265,Dog Supplies Product 265,Pet Supplies,Dog Supplies,Pedigree,3661.68,5861.84
P0266,Equipment Product 266,Sports,Equipment,Yonex,7954.05,11697.04
P0267,Staples Product 267,Grocery,Staples,Britannia,35565.23,43740.05
P0268,Academic Product 268,Books,Academic,Penguin,15334.9,23615.14
P0269,Car Accessories Product 269,Automotive,Car Accessories,3M,48651.79,57177.25
P0270,Sportswear Product 270,Sports,Sportswear,Puma,44905.35,54046.3
P0271,Fiction Product 271,Books,Fiction,Pearson,13002.61,19437.94
P0272,Outdoor Product 272,Sports,Outdoor,Puma,10986.65,12715.97
P0273,Tools Product 273,Automotive,Tools,Michelin,33117.95,39958.27
P0274,Action Product 274,Toys,Action,LEGO,12182.33,18315.94
P0275,Food Product 275,Pet Supplies,Food,Pedigree,48802.72,64887.1
P0276,Non-Fiction Product 276,Books,Non-Fiction,Oxford,19414.85,29639.45
P0277,Educational Product 277,Toys,Educational,Funskool,2927.9,4711.49
P0278,Comics Product 278,Books,Comics,Pearson,23402.39,33649.93
P0279,Household Product 279,Grocery,Household,Nestle,27676.48,43538.31
P0280,Outdoor Toys Product 280,Toys,Outdoor Toys,Hasbro,4375.77,7166.02
P0281,Personal Care Product 281,Beauty,Personal Care,Maybelline,29985.88,43182.48
P0282,Personal Care Product 282,Beauty,Personal Care,Loreal,13977.77,21038.55
P0283,Fitness Product 283,Sports,Fitness,Nike,12763.62,14947.01
P0284,Haircare Product 284,Beauty,Haircare,Maybelline,31601.74,37876.48
P0285,Mobiles Product 285,Electronics,Mobiles,Sony,21921.32,35217.79
P0286,Sportswear Product 286,Sports,Sportswear,Adidas,30259.92,38718.39
P0287,Kitchen Product 287,Home & Kitchen,Kitchen,IKEA,43520.62,60187.55
P0288,Fitness Product 288,Sports,Fitness,Yonex,29049.51,35513.23
P0289,Kitchen Product 289,Home & Kitchen,Kitchen,Philips,37819.7,54920.22
P0290,Outdoor Toys Product 290,Toys,Outdoor Toys,Funskool,31947.96,47710.43
P0291,Snacks Product 291,Grocery,Snacks,Britannia,31374.35,51167.67
P0292,Sportswear Product 292,Sports,Sportswear,Puma,26153.66,32192.91
P0293,Sportswear Product 293,Sports,Sportswear,Decathlon,10795.8,12487.17
P0294,Care Product 294,Automotive,Care,Bosch,9174.45,11851.4
P0295,Equipment Product 295,Sports,Equipment,Decathlon,25785.22,39934.4
P0296,Appliances Product 296,Home & Kitchen,Appliances,Prestige,13917.89,18773.7
P0297,Personal Care Product 297,Beauty,Personal Care,Nivea,47426.96,54866.92
P0298,Audio Product 298,Electronics,Audio,Dell,16562.72,23024.57
P0299,Accessories Product 299,Fashion,Accessories,Levis,8342.38,9679.34
P0300,Furniture Product 300,Home & Kitchen,Furniture,Whirlpool,2104.19,2586.42
P0301,Laptops Product 301,Electronics,Laptops,Lenovo,34391.32,46316.75
P0302,Tools Product 302,Automotive,Tools,Castrol,46434.16,69332.86
P0303,Equipment Product 303,Sports,Equipment,Decathlon,40595.27,60306.18
P0304,Accessories Product 304,Fashion,Accessories,Nike,49841.55,58156.21
P0305,Grooming Product 305,Pet Supplies,Grooming,Royal Canin,10940.54,14674.08
P0306,Tools Product 306,Automotive,Tools,Bosch,16334.74,22520.05
P0307,Men Clothing Product 307,Fashion,Men Clothing,Adidas,43229.79,66479.31
P0308,Snacks Product 308,Grocery,Snacks,Britannia,6326.82,7816.38
P0309,Haircare Product 309,Beauty,Haircare,Loreal,44298.34,66490.78
P0310,Makeup Product 310,Beauty,Makeup,Maybelline,3332.49,4315.3
P0311,Footwear Product 311,Fashion,Footwear,Puma,25483.02,29454.58
P0312,Men Clothing Product 312,Fashion,Men Clothing,Puma,38635.25,49721.68
P0313,Fitness Product 313,Sports,Fitness,Adidas,28150.41,43755.71
P0314,Action Product 314,Toys,Action,Mattel,7079.95,10137.47
P0315,Home Decor Product 315,Home & Kitchen,Home Decor,Prestige,12150.95,14696.74
P0316,Outdoor Product 316,Sports,Outdoor,Yonex,10779.76,12884.62
P0317,Educational Product 317,Toys,Educational,Mattel,38012.39,60329.46
P0318,Beverages Product 318,Grocery,Beverages,Britannia,29198.53,43885.43
P0319,Makeup Product 319,Beauty,Makeup,Maybelline,17700.93,23589.55
P0320,Furniture Product 320,Home & Kitchen,Furniture,Philips,22905.89,32874.44
P0321,Household Product 321,Grocery,Household,Britannia,40549.07,47208.67
P0322,Household Product 322,Grocery,Household,Tata,22623.35,27485.17
P0323,Fitness Product 323,Sports,Fitness,Decathlon,15710.12,20154.03
P0324,Beverages Product 324,Grocery,Beverages,Amul,36311.97,45431.01
P0325,Women Clothing Product 325,Fashion,Women Clothing,Levis,20031.25,31401.46
P0326,Educational Product 326,Toys,Educational,Hasbro,23248.46,36784.97
P0327,Food Product 327,Pet Supplies,Food,Pedigree,47060.56,58375.66
P0328,Grooming Product 328,Pet Supplies,Grooming,Whiskas,16998.83,24445.78
P0329,Care Product 329,Automotive,Care,Bosch,12490.97,14941.43
P0330,Kitchen Product 330,Home & Kitchen,Kitchen,Prestige,37612.64,58137.16
P0331,Men Clothing Product 331,Fashion,Men Clothing,Adidas,32162.97,45107.84
P0332,Kitchen Product 332,Home & Kitchen,Kitchen,Whirlpool,26943.78,37700.95
P0333,Snacks Product 333,Grocery,Snacks,Nestle,29583.3,43663.96
P0334,Mobiles Product 334,Electronics,Mobiles,Sony,45336.39,52187.92
P0335,Footwear Product 335,Fashion,Footwear,Adidas,30372.36,47772.12
P0336,Fitness Product 336,Sports,Fitness,Nike,37223.75,50159.22
P0337,Home Decor Product 337,Home & Kitchen,Home Decor,IKEA,15712.61,20718.55
P0338,Care Product 338,Automotive,Care,Bosch,40371.5,51991.31
P0339,Academic Product 339,Books,Academic,Penguin,35782.31,46171.64
P0340,Outdoor Product 340,Sports,Outdoor,Decathlon,39945.91,47957.56
P0341,Skincare Product 341,Beauty,Skincare,Maybelline,47400.96,73931.23
P0342,Action Product 342,Toys,Action,Mattel,30590.51,44553.52
P0343,Snacks Product 343,Grocery,Snacks,Britannia,38015.1,50273.16
P0344,Makeup Product 344,Beauty,Makeup,Loreal,29220.61,40347.99
P0345,Outdoor Toys Product 345,Toys,Outdoor Toys,Mattel,19801.28,23097.74
P0346,Educational Product 346,Toys,Educational,LEGO,20304.59,25689.58
P0347,Dog Supplies Product 347,Pet Supplies,Dog Supplies,Pedigree,25128.36,37176.79
P0348,Bike Accessories Product 348,Automotive,Bike Accessories,3M,15453.04,19465.29
P0349,Kitchen Product 349,Home & Kitchen,Kitchen,Whirlpool,29350.15,38191.23
P0350,Haircare Product 350,Beauty,Haircare,Mamaearth,28384.5,45231.56
P0351,Personal Care Product 351,Beauty,Personal Care,Loreal,37447.32,54337.77
P0352,Outdoor Toys Product 352,Toys,Outdoor Toys,Mattel,36875.57,49903.0
P0353,Food Product 353,Pet Supplies,Food,Royal Canin,48576.52,56315.03
P0354,Women Clothing Product 354,Fashion,Women Clothing,Levis,14619.02,20141.21
P0355,Bike Accessories Product 355,Automotive,Bike Accessories,3M,49917.96,61615.13
P0356,Grooming Product 356,Pet Supplies,Grooming,Pedigree,26507.74,41618.82
P0357,Tools Product 357,Automotive,Tools,3M,45774.88,63235.88
P0358,Audio Product 358,Electronics,Audio,Lenovo,7927.29,12562.6
